fileID,f1,f2,vot,notes
ne03_kaka,779.74,1798.27,28.85,
ne03_kaka1,819.60,1722.08,30.86,
ne03_kaka2,880.10,1518.85,42.16,
ne03_keke,652.52,2638.77,28.25,
ne03_keke1,565.25,1734.46,29.24,
ne03_keke2,562.20,2538.30,37.47,
ne03_kiki,507.15,2713.07,38.51,
ne03_kiki1,407.63,2069.02,76.03,
ne03_kiki2,372.83,2804.25,62.17,
ne03_koko,509.04,1070.56,47.17,
ne03_koko1,548.97,1214.56,35.22,
ne03_koko2,571.93,1092.12,39.14,
ne03_kuku,517.60,993.01,55.58,
ne03_kuku1,466.59,1071.66,57.11,
ne03_kuku2,413.82,1058.31,47.62,
ne03_paka,846.29,1788.59,12.84,
ne03_paka1,735.24,1824.33,25.09,
ne03_paka2,745.68,1915.70,7.49,
ne03_peke,548.52,1552.90,10.55,
ne03_peke1,745.42,2476.20,37.25,
ne03_peke2,598.40,2263.70,20.76,
ne03_piki,364.13,2651.64,21.26,
ne03_piki1,379.65,2017.80,35.47,
ne03_piki2,390.63,2163.44,20.37,
ne03_poko,637.90,1122.02,17.84,
ne03_poko1,585.24,1183.64,38.81,
ne03_poko2,594.34,1101.85,39.79,
ne03_puku,749.03,1256.11,30.14,
ne03_puku1,427.02,968.42,48.48,
ne03_puku2,494.78,995.76,73.52,
ne03_taka,694.93,1656.55,24.80,
ne03_taka1,857.12,1748.77,20.57,
ne03_taka2,654.54,1236.94,15.97,
ne03_teke,576.34,1540.60,42.68,
ne03_teke1,574.46,1872.35,34.72,
ne03_teke2,564.73,1678.67,27.23,
ne03_tiki,367.50,2790.22,43.79,
ne03_tiki1,376.81,1551.98,75.79,
ne03_tiki2,409.38,1768.56,31.23,
ne03_toko,616.27,1102.91,37.57,
ne03_toko1,620.29,1194.21,40.70,
ne03_toko2,530.95,1051.23,29.05,
ne03_tuku,445.66,1095.92,44.32,
ne03_tuku1,428.61,1051.15,59.50,
ne03_tuku2,476.82,1124.20,42.92,
