fileID,f1,f2,vot,notes
ne02_kaka,568.47,1415.67,40.75,
ne02_kaka1,939.06,2263.27,50.52,
ne02_kaka2,66.77,1503.92,38.01,
ne02_keke,466.37,2408.82,36.79,
ne02_keke1,421.67,2483.13,44.47,
ne02_keke2,495.42,2239.37,31.51,
ne02_kiki,356.74,2691.31,60.11,
ne02_kiki1,344.05,2778.71,80.34,
ne02_kiki2,322.26,2775.36,53.52,
ne02_koko,556.16,1042.13,47.48,
ne02_koko1,422.50,1023.37,36.01,
ne02_koko2,532.47,1077.48,41.84,
ne02_kuku,934.70,1209.12,56.58,
ne02_kuku1,276.36,1187.84,65.83,
ne02_kuku2,479.13,1141.45,52.02,
ne02_paka,761.30,1680.10,21.28,
ne02_paka1,864.95,1520.55,14.97,
ne02_paka2,1053.99,1784.89,10.12,
ne02_peke,545.34,2392.01,46.05,
ne02_peke1,525.37,2455.94,10.45,
ne02_peke2,529.68,2469.32,35.77,
ne02_piki,346.01,2627.67,9.92,
ne02_piki1,381.22,2703.79,8.62,
ne02_piki2,445.45,2643.59,9.42,
ne02_poko,578.17,1034.53,17.30,
ne02_poko1,1020.79,2159.73,23.40,
ne02_poko2,615.67,1563.29,20.58,
ne02_puku,436.34,1053.51,25.54,
ne02_puku1,494.32,1207.85,33.96,
ne02_puku2,449.38,1261.88,23.13,
ne02_taka,844.05,1766.19,22.76,
ne02_taka1,828.28,1591.20,12.92,
ne02_taka2,796.65,1680.34,20.82,
ne02_teke,518.01,2382.72,21.40,
ne02_teke1,485.73,2476.20,29.69,
ne02_teke2,665.73,1854.45,25.89,
ne02_tiki,300.25,2860.04,31.87,
ne02_tiki1,312.44,2748.05,30.81,
ne02_tiki2,286.90,2683.39,31.84,
ne02_toko,502.89,998.80,30.84,
ne02_toko1,588.51,1148.20,34.29,
ne02_toko2,543.68,1018.66,28.88,
ne02_tuku,469.85,1300.95,23.74,
ne02_tuku1,441.58,1121.41,39.20,
ne02_tuku2,734.73,1506.50,34.94,
